"NP_001009950","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_001028565","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_033534","vesicular inhibitory amino acid (GABA/glycine)","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_076294","neutral amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_077211","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_081328","neutral amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_598847","neutral amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_694779","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_694810","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_758462","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_758493","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_766067","neutral amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_766346","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_780330","neutral amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_796048","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_848861","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"XP_001474431","vesicular inhibitory amino acid (GABA/glycine)","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"XP_921985","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"XP_988301","amino acid","","AAAP","The Amino Acid/Auxin Permease (AAAP) Family","Secondary Transporter","2.A.18"
"NP_001028442","sodium ion/bicarbonate anion symporter","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_001074631","chloride/bicarbonate anion exchange","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_033233","chloride/bicarbonate anion exchange","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_033234","chloride/bicarbonate anion exchange","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_035533","chloride/bicarbonate anion exchange","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_061230","sodium ion/bicarbonate anion symporter","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_067505","sodium ion/bicarbonate anion symporter","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_291030","sodium ion/bicarbonate anion symporter","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_766418","chloride/bicarbonate anion exchange","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"XP_893151","sodium ion/bicarbonate anion symporter","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"XP_918239","sodium ion/bicarbonate anion symporter","","AE","The Anion Exchanger (AE) Family","Secondary Transporter","2.A.31"
"NP_001004153","cationic amino acid transporter 5","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"NP_001033749","aromatic-preferring amino acid transporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
